Register,Offset,Field,Bits,Access,Reset,Description,Side Effects,Verification Notes
INT_STATUS,0x014,RX_OVERRUN,7,W1C,0,"RX overrun interrupt pending","Write 1 to clear","Force overflow"
INT_STATUS,0x014,ILLEGAL_CFG,8,W1C,0,"Illegal config interrupt pending","Write 1 to clear","Write invalid control value"
INT_STATUS,0x014,ABORT_DONE,9,W1C,0,"Abort completed interrupt pending","Write 1 to clear","Abort active transfer and verify"
INT_STATUS,0x014,DMA_TX,10,W1C,0,"DMA TX service pending","Write 1 to clear","Only if DMA supported"
INT_STATUS,0x014,DMA_RX,11,W1C,0,"DMA RX service pending","Write 1 to clear","Only if DMA supported"
INT_STATUS,0x014,RESERVED,30:12,RO,0,"Reserved",None,"Read as 0"

FIFO_CTRL,0x018,TX_FLUSH,31,W1P,0,"Flush TX FIFO and reset write pointer","Clears TX FIFO contents and related sticky TX error bits if design chooses","Push data, flush, confirm empty"
FIFO_CTRL,0x018,RX_FLUSH,30,W1P,0,"Flush RX FIFO and reset read pointer","Clears RX FIFO contents and related sticky RX error bits if design chooses","Fill RX FIFO, flush, confirm empty"
FIFO_CTRL,0x018,RESERVED,29:16,RW,0,"Reserved",None,"Read as 0"
FIFO_CTRL,0x018,TX_WM,15:8,RW,0,"TX watermark threshold","Used by INT_EN.TX_WM and FIFO_STATUS.TX_WM_HIT","Program threshold and verify interrupt at boundary"
FIFO_CTRL,0x018,RX_WM,7:0,RW,0,"RX watermark threshold","Used by INT_EN.RX_WM and FIFO_STATUS.RX_WM_HIT","Program threshold and verify interrupt at boundary"

FIFO_STATUS,0x01C,TX_EMPTY,31,RO,1,"TX FIFO empty flag","Live flag from FIFO read/write pointers","Cross-check with level=0"
FIFO_STATUS,0x01C,TX_ALMOST_EMPTY,30,RO,1,"TX FIFO at or below TX_WM","Derived from TX level and watermark","Verify threshold behavior"
FIFO_STATUS,0x01C,TX_FULL,29,RO,0,"TX FIFO full flag","Live flag","Fill to depth and verify"
FIFO_STATUS,0x01C,TX_ALMOST_FULL,28,RO,0,"TX FIFO at or above depth-TX_WM","Derived flag","Check near-full transitions"
FIFO_STATUS,0x01C,RX_EMPTY,27,RO,1,"RX FIFO empty flag","Live flag","Initial reset should be empty"
FIFO_STATUS,0x01C,RX_ALMOST_EMPTY,26,RO,1,"RX FIFO at or below RX_WM","Derived flag","Check threshold behavior"
FIFO_STATUS,0x01C,RX_FULL,25,RO,0,"RX FIFO full flag","Live flag","Fill to depth and verify"
FIFO_STATUS,0x01C,RX_ALMOST_FULL,24,RO,0,"RX FIFO near full flag","Derived flag","Check near-full transitions"
FIFO_STATUS,0x01C,TX_OVF_STICKY,23,RO,0,"TX FIFO overflow sticky flag","Set when a write arrives while FIFO is full","Attempt overflow write and verify sticky set"
FIFO_STATUS,0x01C,TX_UDF_STICKY,22,RO,0,"TX FIFO underrun sticky flag","Set when shifter needs data and TX FIFO is empty","Starve transfer mid-frame"
FIFO_STATUS,0x01C,RX_OVF_STICKY,21,RO,0,"RX FIFO overflow sticky flag","Set when received data cannot be stored","Prevent reads and verify overflow"
FIFO_STATUS,0x01C,RX_UDF_STICKY,20,RO,0,"RX FIFO underflow sticky flag","Set when RXDATA is read while empty","Read empty RXDATA and verify"
FIFO_STATUS,0x01C,TX_LEVEL,19:12,RO,0,"Current TX FIFO occupancy","Reflects number of valid entries","Compare against push/pop count"
FIFO_STATUS,0x01C,RX_LEVEL,11:4,RO,0,"Current RX FIFO occupancy","Reflects number of valid entries","Compare against receive count"
FIFO_STATUS,0x01C,RESERVED,3:0,RO,0,"Reserved",None,"Read as 0"

TXDATA,0x020,DATA,31:0,WO,0,"Write a transmit word into TX FIFO","If FIFO full, data is ignored and TX_OVF_STICKY is set (unless design chooses bus error)","Write sequence and confirm TX FIFO level increases"
TXDATA,0x020,READBACK,31:0,RO,0,"Read behavior is implementation-defined; recommended to read as 0","No side effect on read","Read returns 0 or fixed value"

RXDATA,0x024,DATA,31:0,RO,0,"Read a received word from RX FIFO","Read pops one entry; if empty sets RX_UDF_STICKY and returns 0","Read after known received frame; verify pop and returned value"

MODE_FAULT,0x028,MODE_FAULT_STICKY,0,W1C,0,"General mode fault sticky summary","Write 1 to clear","Inject illegal transition and clear"
MODE_FAULT,0x028,CS_CONTENTION_STICKY,1,W1C,0,"Two CS lines active simultaneously or selected line contention","Write 1 to clear","Force illegal CS selection"
MODE_FAULT,0x028,CPHA_CHANGE_ERR_STICKY,2,W1C,0,"CPHA changed while BUSY or invalid phase behavior","Write 1 to clear","Attempt dynamic phase change during transfer"
MODE_FAULT,0x028,CPOL_CHANGE_ERR_STICKY,3,W1C,0,"CPOL changed while BUSY or invalid polarity behavior","Write 1 to clear","Attempt dynamic polarity change during transfer"
MODE_FAULT,0x028,RESERVED,31:4,RO,0,"Reserved",None,"Read as 0"

DEBUG,0x02C,FSM_STATE,31:28,RO,0,"Encoded internal FSM state for debug","Implementation-defined encoding, but stable within the IP revision","Use waveform + register readback to correlate state transitions"
DEBUG,0x02C,BIT_CNT,27:23,RO,0,"Current bit index/count in frame","Shows progress through current word","Compare with frame length during transfer"
DEBUG,0x02C,SCK_OUT,22,RO,0,"Current SCK output level","Useful for timing debug","Check against CPOL and divider"
DEBUG,0x02C,CS_OUT,21,RO,0,"Current CS output asserted state","Reflects selected CS line state","Verify assertion window"
DEBUG,0x02C,MOSI_OUT,20,RO,0,"Current MOSI output value","Useful in waveform correlation","Check against shift register output"
DEBUG,0x02C,MISO_SAMPLE,19,RO,0,"Last sampled MISO value","Useful for debug only","Cross-check with received word"
DEBUG,0x02C,TX_SHIFT_LOAD,18,RO,0,"Pulse indicating TX shifter load event","Debug visibility only","Verify load happens once per frame"
DEBUG,0x02C,RX_SHIFT_LOAD,17,RO,0,"Pulse indicating RX shifter capture/load event","Debug visibility only","Verify sample occurs on correct edge"
DEBUG,0x02C,LOOPBACK_ACTIVE,16,RO,0,"Internal loopback active flag","True when CTRL.LOOPBACK_EN is enabled and path is used","Confirm loopback is visible"
DEBUG,0x02C,LAST_TX_BYTE,15:8,RO,0,"Most recently transmitted byte slice or low byte of current word","Debug only; exact meaning can be documented as implementation-defined","Compare with stimulus"
DEBUG,0x02C,LAST_RX_BYTE,7:0,RO,0,"Most recently received byte slice or low byte of current word","Debug only; exact meaning can be documented as implementation-defined","Compare with response"

CAPABILITIES,0x030,NUM_CS_MINUS_1,31:28,RO,PARAM,"Number of chip-select outputs minus 1","Synthesis-time constant","Check matches integration parameter"
CAPABILITIES,0x030,MAX_WORD_LEN_MINUS_1,27:23,RO,PARAM,"Maximum supported frame length minus 1","Synthesis-time constant","Check matches design parameter"
CAPABILITIES,0x030,SUPPORT_MASTER,22,RO,PARAM,"1 if master mode is implemented","Synthesis-time constant","Verify expected by configuration"
CAPABILITIES,0x030,SUPPORT_SLAVE,21,RO,PARAM,"1 if slave mode is implemented","Synthesis-time constant","Verify expected by configuration"
CAPABILITIES,0x030,SUPPORT_LOOPBACK,20,RO,PARAM,"1 if internal loopback is implemented","Synthesis-time constant","Verify expected by configuration"
CAPABILITIES,0x030,SUPPORT_DMA,19,RO,PARAM,"1 if DMA interface is implemented","Synthesis-time constant","Verify expected by configuration"
CAPABILITIES,0x030,SUPPORT_QUAD,18,RO,PARAM,"1 if quad I/O mode is implemented","Synthesis-time constant","Verify expected by configuration"
CAPABILITIES,0x030,SUPPORT_DUAL,17,RO,PARAM,"1 if dual I/O mode is implemented","Synthesis-time constant","Verify expected by configuration"
CAPABILITIES,0x030,SUPPORT_3WIRE,16,RO,PARAM,"1 if 3-wire mode is implemented","Synthesis-time constant","Verify expected by configuration"
CAPABILITIES,0x030,TX_FIFO_DEPTH,15:8,RO,PARAM,"TX FIFO depth in entries","Synthesis-time constant","Verify with FIFO implementation"
CAPABILITIES,0x030,RX_FIFO_DEPTH,7:0,RO,PARAM,"RX FIFO depth in entries","Synthesis-time constant","Verify with FIFO implementation"

VERSION,0x034,MAJOR,31:24,RO,1,"Major version of SPI IP","Read-only constant","Check version gate in firmware"
VERSION,0x034,MINOR,23:16,RO,0,"Minor version of SPI IP","Read-only constant","Check version gate in firmware"
VERSION,0x034,REVISION,15:0,RO,0,"Patch/build revision","Read-only constant","Check version gate in firmware"

DMA_CTRL,0x038,DMA_EN,31,RW,0,"Global DMA enable","Only meaningful if SUPPORT_DMA=1","Enable and verify DMA request path"
DMA_CTRL,0x038,TX_DMA_EN,30,RW,0,"Enable TX DMA requests","Used for TX refills","Check request generation"
DMA_CTRL,0x038,RX_DMA_EN,29,RW,0,"Enable RX DMA requests","Used for RX draining","Check request generation"
DMA_CTRL,0x038,BURST_LEN,28:24,RW,0,"DMA burst length minus 1","Implementation-defined usage","Verify burst request behavior"
DMA_CTRL,0x038,TX_THRESHOLD,23:16,RW,0,"TX DMA request threshold","Request when TX level is at or below threshold","Test boundary behavior"
DMA_CTRL,0x038,RX_THRESHOLD,15:8,RW,0,"RX DMA request threshold","Request when RX level is at or above threshold","Test boundary behavior"
DMA_CTRL,0x038,RESERVED,7:0,RW,0,"Reserved",None,"Read as 0"

DMA_STATUS,0x03C,TX_DMA_ACTIVE,31,RO,0,"TX DMA engine active/requesting","Only if DMA supported","Observe during streaming"
DMA_STATUS,0x03C,RX_DMA_ACTIVE,30,RO,0,"RX DMA engine active/requesting","Only if DMA supported","Observe during streaming"
DMA_STATUS,0x03C,TX_DMA_ERR,29,RO,0,"TX DMA error sticky flag","Only if DMA supported","Force DMA misuse and verify"
DMA_STATUS,0x03C,RX_DMA_ERR,28,RO,0,"RX DMA error sticky flag","Only if DMA supported","Force DMA misuse and verify"
DMA_STATUS,0x03C,RESERVED,27:0,RO,0,"Reserved",None,"Read as 0"
